0,1281,1102,1236
1,646,517,642
2,1103,477,612
3,635,159,219
4,2530,797,862
5,3759,538,623
6,547,1160,1257
7,2092,930,994
8,625,1299,1424
9,692,572,674
10,1725,385,509
11,532,1033,1143
12,1443,444,500
13,3267,109,208
14,336,459,503
15,1528,268,364
16,3663,146,223
17,2176,447,582
18,1518,311,416
19,2033,231,320
20,3678,610,714
21,207,1209,1340
22,3334,759,878
23,361,1062,1201
24,3482,762,874
25,834,1029,1143
26,2201,477,580
27,1101,559,642
28,1235,637,760
29,3262,21,91
30,1662,934,1044
31,3911,846,936
32,3162,596,693
33,3938,456,558
34,3404,137,272
35,3110,1250,1386
36,2929,618,652
37,2700,560,659
38,12,833,885
39,3370,173,225
40,2704,8,120
41,3866,590,681
42,2096,653,737
43,2757,815,932
44,1894,1173,1204
45,898,1056,1159
46,3565,657,762
47,3144,1138,1185
48,1435,409,492
49,170,263,400
50,1908,61,161
51,945,379,478
52,2216,1262,1325
53,3856,88,138
54,2460,390,454
55,2437,341,450
56,1942,759,883
57,1386,153,278
58,1610,1079,1143
59,1459,81,111
60,2350,931,1046
61,3353,1175,1268
62,4026,285,396
63,2987,786,834
64,2800,732,769
65,1692,701,757
66,3948,972,1042
67,46,224,342
68,1509,87,190
69,1358,228,267
70,1451,329,443
71,1788,116,155
72,1055,315,410
73,345,105,199
74,3597,1195,1271
75,2640,743,879
76,3674,552,629
77,3559,1103,1202
78,1920,1029,1165
79,131,163,288
80,602,351,381
81,3479,151,224
82,2778,377,485
83,270,455,593
84,1644,1142,1209
85,2124,358,402
86,251,724,810
87,1140,736,817
88,3345,1029,1138
89,2866,1191,1263
90,2856,235,335
91,1380,535,623
92,2910,295,400
93,3356,1153,1275
94,3647,1268,1334
95,545,708,818
96,3422,144,185
97,2048,1209,1242
98,2142,841,907
99,1050,711,832
100,2839,363,441
101,3373,567,634
102,3430,1299,1377
103,609,436,557
104,2884,612,745
105,3154,1248,1297
106,3423,919,1056
107,2478,222,283
108,3260,304,361
109,1358,360,468
110,1503,813,913
111,567,851,934
112,3072,516,577
113,2773,1105,1163
114,1921,90,176
115,1849,934,998
116,3307,992,1114
117,112,1229,1283
118,999,470,550
119,1170,846,898
120,3115,220,276
121,3652,228,308
122,3133,816,895
123,1662,349,398
124,1607,1242,1355
125,2024,773,804
126,2050,153,234
127,1768,1198,1314
128,3697,774,869
129,2329,902,951
130,1479,898,983
131,1887,36,93
132,3538,1071,1152
133,3228,451,548
134,3056,538,639
135,3336,391,436
136,1242,46,95
137,2146,978,1088
138,3365,1226,1262
139,3490,534,663
140,1689,1041,1106
141,187,150,230
142,3482,880,910
143,1108,1237,1315
144,537,491,531
145,2103,1056,1144
146,842,550,609
147,713,651,731
148,1610,649,743
149,2143,423,512
150,3795,471,601
151,2919,1092,1141
152,3944,848,978
153,2312,379,483
154,1616,392,471
155,693,670,777
156,3083,578,610
157,2040,406,521
158,2718,1087,1156
159,1705,298,365
160,919,1065,1186
161,2274,1138,1189
162,77,1168,1252
163,2266,114,209
164,2772,366,458
165,2873,939,1077
166,2865,343,442
167,123,698,759
